id,namegbxml,namearch,iswindow,thickness,embodiedenergy,eeunit_id,matdensityarch,matdensitygbxml,densityunit_id,unitcostmat,unitcostmle,unitcostttl,financialunit_id,lifeexpectancy,maintenancefactor,infosource,confidence
21,"Concrete, Cast-in-Place gray: 2""","General Concrete",0,0,0.95,2,143.6,0,2,0,0,0,2,0,0,,59
22,"Concrete, Lightweight: 4""","General Concrete",0,0,0.95,2,59.3085,0,2,99,99,109,2,0,0,,57
23,"Concrete, Precast: 8""","General Concrete",0,0,0.95,2,143.6,0,2,99,99,109,2,0,0,,75
24,"Limestone: 3 1/2""",Stone,0,0,0.64,2,2750,0,1,0,0,0,2,0,0,,74
25,"Metal surface",none,0,0,25,1,7824,0,1,0,0,0,2,0,0,"",46
26,"Air: 1""",Air,0,0,0,1,0,0,2,0,0,0,3,0,0,,21
27,AirSpace,Air,0,0,0,1,0,0,2,0,0,0,3,0,0,,85
28,"Rubber, Black: 1/16""",Rubber,0,0,110,2,58.058,58.058,2,0,0,0,2,0,0,,93
29,"Opaque spandral glass","Opaque Spandrel Glass",1,0,18.5,2,2528,0,1,16.1,22.4,27.5,3,0,0,,28
30,"Asphalt Shingle: 1'","Asphalt Shingle",0,0,9,2,69.9216,0,2,81,136.5,183,4,0,0,,92
31,"Vapor Retarder","Vapor Barrier",0,0,38472.88,1,57.43,93.645,2,11.25,20.95,27.5,4,100,1,,98
32,"Concrete Masonry Units: 11 5/8""","Concrete Masonry Unit",0,0,305.89,1,30.24,112.374,2,2.36,6.49,8.85,3,0,0,,24
33,"Concrete, Cast-in-Place gray","Concrete, Cast-in-Place gray",0,12,0.95,2,143.6,143.6,2,0,0,0,1,0,1,,76
34,"Brick, Common: 10 1/2""","Brick, Common: 10 1/2""",0,10.5,1289.77,1,120,120,2,0,0,0,4,100,1,,87
35,"Softwood, Lumber: 3/8""","Softwood, Lumber: 3/8""",0,0.375,3663.5,1,31.8,31.8,2,0,0,0,4,100,1,,75
36,"Concrete, Cast-in-Place, Gray: 6""","Concrete, Cast-in-Place, Gray: 6""",0,6,0.95,2,143.6,143.6,2,0,0,0,4,100,1,,60
37,"Ceramic Tile: 5/16""",http://en.wikipedia.org/wiki/Embodied_energy,0,0.3125,12,2,2000,2000,1,0,0,0,4,100,1,,25
38,"Plaster: 5/8""",http://en.wikipedia.org/wiki/Embodied_energy,0,0.625,1.8,2,1120,1120,1,0,0,0,4,100,1,,56
39,"Plaster: 11/16""",http://en.wikipedia.org/wiki/Embodied_energy,0,0.6875,1.8,2,1120,1120,1,0,0,0,4,100,1,,8
40,"Plaster: 3/4""",http://en.wikipedia.org/wiki/Embodied_energy,0,0.75,1.8,2,1120,1120,1,0,0,0,4,100,1,,44
41,"Concrete, Cast-in-Place gray: 6""","General Concrete",0,0,0.95,2,143.5843,0,2,0,0,0,2,100,1,,5
42,"Structure, Wood Joist/Rafter Layer, Batt Insulation: 5 1/2""","Wood Framing 2x6"" @ 24"" oc",0,0,5138.7706,1,5.79,32,2,0,0,0,2,60,1.6667,,17
43,"Concrete, Cast-in-Place, Gray: 8""","General Concrete",0,0,0.95,2,143.5843,0,2,0,0,0,2,100,1,,98
44,"Asphalt Shingle: 1/4""","Asphalt Shingle",0,0,9,2,74.916,0,2,81,136.5,183,4,0,0,,21
45,"Plywood, Sheathing: 5/8""","Plywood Sheathing",0,0,6448.8,1,33.7,0,2,0.51,1.11,1.48,3,30,3.3333,,11
46,"Structure, Wood Joist/Rafter Layer, Batt Insulation: 7 1/2""","Wood Framing 2x6"" @ 24"" oc8",0,0,5138.7706,1,5.79,32,2,0,0,0,2,60,1.6667,,72
47,"Siding, Clapboard: 1/2""","Clapboard Siding",0,0,3663.5,1,31.8,0,2,0,0,0,3,60,1.6667,,33
48,"Oak Flooring: 3/4""","Sawn Hardwood",0,0,7.8,2,44.9481,0,2,0.52,0,0,3,0,0,,61
49,"Structure, Wood Joist/Rafter Layer: 9 1/4""","2x10"" Rafter @ 24"" oc",0,0,3663.5,1,31.8,0,2,660,1070,1350,1,60,1.6667,,62
50,"Concrete, Cast-in-Place gray: 1'","General Concrete",0,0,0.95,2,143.6,0,2,0,0,0,2,0,0,"",96
